ID_Movimentacao;ID_Equipamento;Data_Movimentacao;Tipo_Movimentacao;Origem;Destino;Usuario_Responsavel;Data_Devolucao_Prevista
MOV-6fae1e3b-909b-4855-8ce4-acf4c9ed080f;EQP001;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-190fdc0e-ece9-4b69-89c6-acc84b7b5236;EQP002;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-732b2308-ca24-4cdd-af85-a1bbba04fd66;EQP003;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-54fc05ac-2f0e-4cd1-a622-2ad500bf2f90;EQP004;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-8ceed750-b14f-462e-a0ff-e6a66d0c086c;EQP005;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-ec2daf3c-b63c-4538-b319-511176693569;EQP006;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-cc285b58-dbca-42fc-8dbb-499ae49a9ef3;EQP007;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-ca331add-116c-4297-9b38-70e54dcb8ee9;EQP008;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-c6a03a3c-03ca-41a9-af05-543c549e5739;EQP009;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-667fd127-68a5-4a19-9e01-4b6d8da4c8fe;EQP010;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-22288171-c8ca-47a6-a8e4-34fa574ff48c;EQP011;10/10/2025 16:41;Cessão (Empréstimo);Estoque;CES002;;
MOV-1563ae1a-2092-4da7-8e35-3b3f793e51c2;EQP012;13/10/2025 09:42;Cessão (Empréstimo);Estoque;CES002;;
MOV-d89a6e27-5a64-4a7f-be2b-cc141b2c8e7e;EQP013;13/10/2025 09:43;Cessão (Empréstimo);Estoque;CES002;;
MOV-3244297d-b848-449d-981a-1ff53a8a5e53;EQP014;13/10/2025 09:56;Cessão (Empréstimo);Estoque;CES002;;
MOV-dbf9bf96-fdef-4674-9360-83b14c50f4af;EQP015;13/10/2025 09:56;Cessão (Empréstimo);Estoque;CES002;;
MOV-764c5df4-b7e9-46f1-9a7c-06d8be1afd59;EQP016;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-61298ac3-3bf3-4152-9352-49ed695ebf0c;EQP017;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-2c369cd9-cd6f-4f56-8d60-ccedbcc1fb3b;EQP018;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-bf7357eb-bf0a-4b82-87b2-94a63dcf44d3;EQP019;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-5c10c3ce-c769-4fe0-a3c6-9a1c6e5d388d;EQP020;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-633c2118-9f7e-49af-b15f-cf14e54ed7db;EQP021;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-6aeeea5d-730a-4325-be8a-27e2e1b06de0;EQP022;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-8d4b8aba-26ba-4500-90e7-ff727c8bad80;EQP023;13/10/2025 09:57;Cessão (Empréstimo);Estoque;CES002;;
MOV-83a43e0b-0201-4860-a73c-3911f4230b9a;EQP024;13/10/2025 10:06;Cessão (Empréstimo);Estoque;CES003;;
MOV-bf65c667-159e-4e50-adcc-b0a824579701;EQP025;13/10/2025 10:06;Cessão (Empréstimo);Estoque;CES003;;
MOV-d527bed5-b7fd-40d5-a709-836025dd1b11;EQP026;13/10/2025 10:06;Cessão (Empréstimo);Estoque;CES003;;
MOV-7a509c0d-79c8-4dc3-a42b-30756db14d4f;EQP027;13/10/2025 10:06;Cessão (Empréstimo);Estoque;CES003;;
MOV-970e6a8b-251f-499e-8012-edf6478db422;EQP028;13/10/2025 10:53;Cessão (Empréstimo);Estoque;CES004;;
MOV-cd492d79-1e39-4082-8dfa-5210947b09b7;EQP029;13/10/2025 10:53;Cessão (Empréstimo);Estoque;CES004;;
MOV-56a0ce39-7fea-4592-aa56-50cc27304401;EQP030;13/10/2025 10:53;Cessão (Empréstimo);Estoque;CES004;;
MOV-8f17bb34-615b-4b60-a733-2e6b6b279e10;EQP031;13/10/2025 10:53;Cessão (Empréstimo);Estoque;CES004;;
MOV-26ae858d-8620-4e3a-b53a-e82001a426b2;EQP032;13/10/2025 10:53;Cessão (Empréstimo);Estoque;CES004;;
MOV-f209353e-54d1-4303-94ce-8b944669eb5d;EQP033;13/10/2025 11:14;Cessão (Empréstimo);Estoque;CES005;;
MOV-1af5049f-28cf-4e27-b7dc-9017f5c4aa1d;EQP034;17/10/2025 10:08;Cessão (Empréstimo);Estoque;CES002;;
MOV-79039e3d-2e75-4f64-a29d-a6049c0a7877;EQP011;03/02/2026 15:18;Cessão (Empréstimo);Estoque;CES006;;
MOV-ff3c5d49-4f1e-498d-b438-cd91b16a460d;EQP035;13/03/2026 15:45;Cessão (Empréstimo);Estoque;CES002;admin@quimicosunificados.com.br;
MOV-c2df66ab-bbad-4016-88cb-e87af2b6fab9;EQP036;13/03/2026 15:45;Cessão (Empréstimo);Estoque;CES002;admin@quimicosunificados.com.br;
