id;regiao_id;razao_social;nome_fantasia;nome_curto;cnpj;empresa_erp;inscricao_estadual;email;telefone;cidade;estado;categoria;ativo;created_at;updated_at
565;0;SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA;;;4,62568E+13;565;;;;VILA VELHA;ES;QUIMICAS;0;08/04/1974;
1125;3;NATUPLAST - IND, COMERCIO E RECICLAGEM DE PLASTICOS LTDA;NATUPLAST;;1,29987E+13;1125;;;;APARECIDA DE GOIANIA;GO;QUIMICAS;0;10/12/2010;
367;1;A.C.A GERENCIAMENTO DE OBRAS LTDA;A C A QUIMICA;;3,84201E+12;367;;;;GUAXUPE;MG;QUIMICAS;0;30/05/2000;
522;1;EMPRESA BRASILEIRA DE PECAS PLASTICAS LTDA;EMBRAPLAS;;6,34562E+12;522;;;;PARAGUACU;MG;QUIMICAS;0;01/06/2004;
1105;5;TECNOSELO SERVICOS TECNICOS LTDA;TECNOSELO;;2,30537E+13;1105;;;;RECIFE;PE;QUIMICAS;0;12/08/2015;
334;2;IFM SERVICOS TECNOLOGICOS LTDA.;IFM;;3,02287E+12;334;;;;PETROPOLIS;RJ;QUIMICAS;0;05/03/1999;
82;0;IMPACTO-PLAS COMERCIAL LTDA;INJEVAL;;2,21126E+12;82;;;;RIO DE JANEIRO;RJ;QUIMICAS;0;31/10/1997;
198;0;COMPANHIA INDUSTRIAL FARMACEUTICO - FALIDO;CIF;;3,30811E+13;198;;;;RIO DE JANEIRO;RJ;QUIMICAS;0;11/06/1976;
473;0;LUNDBECK BRASIL LTDA;;;4,5226E+12;473;;;;RIO DE JANEIRO;RJ;QUIMICAS;0;22/06/2001;
154;1;QUALITY FIBER INDUSTRIA DE PLASTICOS LTDA;MULTIMAX PLASTICOS;;5,13784E+13;154;;;;VALENCA;RJ;QUIMICAS;0;20/09/1982;
937;0;KRAFOAM SERVICOS ADMINISTRATIVOS LTDA;KRAFOAM IMPORT;;2,54034E+11;937;;;;ELDORADO DO SUL;RS;QUIMICAS;0;18/10/1994;
285;4;PPG INDUSTRIAL DO BRASIL - TINTAS E VERNIZES - LTDA.;PPG;;4,39967E+13;285;;;;GRAVATAI;RS;QUIMICAS;0;17/12/1997;
680;0;MRP INDISTRIA E COMERCIO LTDA;MRP;;4,84702E+12;680;;;;GRAVATAI;RS;QUIMICAS;0;09/01/2002;
1136;0;PRIME ADMINISTRADORA DE BENS LTDA;PRIME FRAGRANCIAS;;2,74051E+13;1136;;;;PORTO ALEGRE;RS;QUIMICAS;0;28/03/2017;
1175;2;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;NOVA QUIMICA;;9,22656E+13;1175;;;;SAO JERONIMO;RS;FARMACEUTICAS;1;04/08/1988;
627;4;ARPO GESTAO LTDA;LOPBRAS REPARACAO;;8,58356E+12;627;;;;BARRA VELHA;SC;QUIMICAS;0;12/12/2006;
181;1;BRASCOLA TEC LTDA;TIVOCARZ;;4,62585E+13;181;;;;JOINVILLE;SC;QUIMICAS;0;07/05/1974;
669;4;MEXICHEM TRADING COMERCIO, IMPORTACAO E EXPORTACAO S/A;AMANCO;;6,22524E+13;669;;;;JOINVILLE;SC;QUIMICAS;0;20/02/1990;
47;0;IBRAP INDUSTRIA BRASILEIRA DE ALUMINIO E PLASTICOS SA;IBRAP;;1,30132E+11;47;;;;URUSSANGA;SC;QUIMICAS;0;02/08/1994;
141;1;FIBRALIT INDUSTRIA E COMERCIO LTDA;FIBRALIT;;7,30351E+13;141;;;;VIDEIRA;SC;QUIMICAS;0;12/11/1993;
372;0;CLARUS TECHNOLOGY DO BRASIL LTDA;CLARUS TECHNOLOGY;;3,09349E+12;372;;;;AMERICANA;SP;QUIMICAS;0;15/04/1999;
500;0;TEMASA - TEMA SERVICOS AMBIENTAIS LTDA;TEMASA;;6,9549E+12;500;;;;AMERICANA;SP;QUIMICAS;0;04/08/2004;
